acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
3.03,0.1,0.15,498.18,0.07,1.04,3.0353582984550607,12:22:36
3.02,0.1,0.18,498.74,-0.51,501.06,3.027011727760565,12:22:37
3.03,0.1,0.17,497.79,0.32,0.81,3.0364123567130994,12:22:37
3.02,0.09,0.16,498.39,1.67,1.02,3.0255743256446372,12:22:38
3.02,0.1,0.15,498.58,0.79,500.94,3.025376009688713,12:22:38
3.02,0.09,0.16,497.15,0.63,500.64,3.0255743256446372,12:22:39
3.03,0.1,0.17,498.81,-0.24,0.87,3.0364123567130994,12:22:39
3.02,0.1,0.17,497.64,-0.63,1.58,3.0264335446198056,12:22:40
3.03,0.1,0.18,498.77,0.98,1.09,3.0369886400841213,12:22:40
3.03,0.11,0.15,497.73,0.62,500.6,3.0357042016639237,12:22:41
3.03,0.11,0.16,498.19,-0.66,500.96,3.0362147486632103,12:22:41
3.02,0.1,0.18,499.15,0.17,501.05,3.027011727760565,12:22:42
3.02,0.11,0.17,498.29,1.56,500.86,3.026780467757779,12:22:42
3.02,0.1,0.16,497.57,1.4,500.58,3.025888299326332,12:22:43
3.02,0.1,0.16,498.48,0.54,500.61,3.025888299326332,12:22:43
3.03,0.1,0.16,498.67,-0.78,1.24,3.035868903625451,12:22:44
3.02,0.11,0.17,497.83,0.73,0.88,3.026780467757779,12:22:44
3.02,0.1,0.17,498.38,0.6,500.71,3.0264335446198056,12:22:45
3.02,0.09,0.17,498.85,0.38,1.09,3.0261196275097917,12:22:45
3.03,0.04,0.16,5.98,496.62,493.19,3.034485129309419,12:22:46
3.03,0.12,0.12,10.38,495.48,4.35,3.034748754015726,12:22:46
3.04,0.12,0.1,9.08,493.14,494.13,3.0440105124654218,12:22:47
2.94,0.18,0.36,56.89,465.09,492.87,2.967423124530777,12:22:47
3.07,0.11,0.34,65.49,1.87,481.81,3.0907280695654866,12:22:48
2.98,3.98,0.48,46.8,492.35,464.3,4.995117616232875,12:22:48
3.19,0.2,0.32,70.41,16.15,486.57,3.212242207555339,12:22:49
2.92,0.0,0.6,123.26,470.82,443.84,2.9810065414218734,12:22:49
3.21,0.36,0.4,123.25,484.85,434.32,3.2547964606100948,12:22:50
3.21,3.94,0.38,47.98,470.05,468.66,5.096282959177208,12:22:51
3.13,0.06,0.48,13.16,9.28,3.92,3.167159610755353,12:22:51
3.13,0.2,0.36,0.93,9.35,500.86,3.1569764015589343,12:22:52
3.06,0.01,0.3,493.35,491.44,4.71,3.0746869759375506,12:22:52
3.1,0.11,0.22,12.79,14.39,498.78,3.109742754634216,12:22:53
3.03,0.16,0.2,500.74,487.34,500.52,3.0408058142538468,12:22:53
3.16,3.99,0.28,488.95,26.08,487.82,5.097460151879561,12:22:54
3.2,0.26,0.44,20.09,479.56,492.42,3.2405555079337867,12:22:54
2.98,0.16,0.53,485.01,493.68,484.61,3.030989937297714,12:21:55
3.23,0.58,0.32,25.41,493.33,493.08,3.2972261068965225,12:21:55
2.75,0.35,0.48,14.45,11.45,7.75,2.813432067777717,12:21:56
2.94,0.0,0.27,2.3,21.92,499.39,2.952371927789587,12:21:56
3.08,0.1,0.23,483.02,481.09,10.7,3.0901941686567205,12:21:57
3.08,0.06,0.49,74.92,497.54,457.94,3.1193108213193503,12:21:57
3.2,0.44,0.46,132.56,469.75,432.25,3.262698269837406,12:21:58
3.18,0.06,0.38,47.62,497.77,474.97,3.203185914054943,12:21:58
3.09,0.11,0.53,22.2,494.3,481.03,3.1370527569679156,12:21:59
3.11,0.14,0.4,14.03,1.02,499.97,3.138741786130232,12:21:59
3.04,0.11,0.17,498.27,0.11,10.16,3.0467359583659364,12:22:00
3.02,0.11,0.23,498.83,-0.43,503.23,3.0307424832868923,12:22:00
3.03,0.1,0.25,497.83,0.35,4.14,3.04194017035181,12:22:01
3.03,0.1,0.24,498.43,1.76,7.25,3.0411346566701054,12:22:01
3.02,0.11,0.17,498.67,0.89,502.72,3.026780467757779,12:22:02
3.02,0.1,0.19,497.16,0.64,510.63,3.027622829878253,12:22:02
3.03,0.1,0.19,498.88,-0.15,3.84,3.0375977350531453,12:22:03
3.03,0.11,0.19,497.73,-0.59,8.32,3.037943383277575,12:22:03
3.03,0.11,0.25,498.8,1.05,11.08,3.042285325211953,12:22:04
3.04,0.11,0.19,497.75,0.65,505.39,3.047917321713304,12:22:04
3.04,0.12,0.17,498.28,-0.63,506.1,3.0471133881101307,12:22:05
3.03,0.1,0.27,499.22,0.25,507.11,3.043649125638499,12:22:05
3.03,0.12,0.21,498.32,1.63,506.81,3.0396381363576817,12:22:06
3.03,0.11,0.17,497.63,1.48,507.66,3.0367581398590175,12:22:06
3.02,0.1,0.25,498.52,0.58,506.87,3.0319795513822316,12:22:07
3.04,0.1,0.24,498.75,-0.75,8.1,3.051098162957069,12:22:07
3.02,0.11,0.26,497.88,0.82,3.19,3.0331666620876607,12:22:08
3.02,0.11,0.19,498.4,0.62,505.92,3.0279696167564163,12:22:08
3.03,0.09,0.25,498.88,0.45,2.35,3.0416278536336425,12:22:09
3.04,0.05,0.18,5.99,496.67,500.09,3.045734722525913,12:22:09
3.04,0.13,0.16,10.39,495.56,8.23,3.046982113501817,12:22:10
3.05,0.13,0.14,9.13,493.22,503.82,3.0559777486100907,12:22:10
2.94,0.19,0.43,56.98,465.12,502.79,2.9773478130712236,12:22:11
3.08,0.12,0.36,65.54,1.91,487.16,3.10328857826661,12:22:11
2.98,3.99,0.52,46.83,492.39,474.27,5.007084980305407,12:22:12
3.19,0.21,0.36,70.46,16.22,489.19,3.2171105047853112,12:22:12
2.92,0.01,0.64,123.31,470.9,452.5,2.989331028842406,12:22:13
3.22,0.37,0.44,123.33,484.91,436.45,3.2709173025315086,12:22:13
3.22,3.95,0.43,48.0,470.12,476.86,5.114274142045966,12:22:14
3.13,0.06,0.54,13.19,9.29,13.85,3.1768065726449257,12:22:14
3.14,0.2,0.38,0.96,9.4,504.15,3.1692270350986216,12:22:15
3.07,0.01,0.34,493.37,491.48,7.59,3.088786169355205,12:22:15
3.11,0.12,0.25,12.88,14.41,499.86,3.1223388669393333,12:22:16
3.03,0.16,0.22,500.79,487.41,502.15,3.04218671353354,12:22:16
3.17,3.99,0.34,488.98,26.13,492.41,5.10730848882266,12:22:17
3.2,0.27,0.51,20.14,479.57,498.2,3.25161498335827,12:22:17
