acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
0.96,0.31,3.92,497.47,2.72,500.19,4.047727757643787,11:46:04
0.97,0.31,3.91,495.61,-0.01,500.82,4.040433145097194,11:46:04
0.96,0.3,3.93,499.59,0.97,500.77,4.056661188711722,11:46:04
0.96,0.31,3.94,496.51,1.23,500.35,4.067099703720085,11:46:04
0.96,0.31,3.91,498.87,1.15,500.99,4.038044080987725,11:46:04
0.85,0.31,3.85,495.72,475.05,498.96,3.9548830576895697,11:46:04
0.88,0.22,3.43,25.38,448.44,7.73,3.5479148806024083,11:46:04
0.81,0.24,3.31,488.69,38.17,491.97,3.416108897561669,11:46:04
1.03,0.32,3.9,470.79,44.55,3.54,4.046393455906136,11:46:04
0.96,0.31,0.04,496.92,8.49,491.97,1.009603882718366,11:46:04
0.92,0.4,3.91,499.54,496.65,500.01,4.036644646237764,11:46:04
0.94,0.35,3.88,497.7,0.12,3.77,4.007555364558298,11:46:04
