acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
1.02,0.09,2.9,3.67,478.66,493.73,3.0754674441456866,12:00:54
1.05,3.9,3.67,22.23,37.15,13.21,5.457233731479714,12:00:54
0.74,0.21,2.91,454.47,468.85,473.86,3.0099501657004226,12:00:55
1.0,0.34,3.08,20.05,44.17,500.63,3.2560712522916324,12:00:55
0.8,3.62,3.28,463.05,482.27,464.3,4.950030302937549,12:00:56
0.54,0.24,2.43,489.77,65.14,14.03,2.5008198655640914,12:00:56
0.67,3.51,2.86,5.12,37.2,481.79,4.576964059286461,12:00:57
0.34,0.33,2.5,494.38,16.81,14.68,2.544503880916671,12:00:57
0.28,3.52,3.1,475.64,58.0,18.88,4.698808359573734,12:00:58
0.66,0.28,3.21,21.42,466.77,495.32,3.2890880194971976,12:00:58
0.31,3.68,3.17,464.41,14.37,27.23,4.866970310162165,12:00:59
0.7,3.97,3.34,60.83,3.7,427.06,5.23512177508795,12:00:59
0.74,0.04,3.27,46.58,-1.87,460.92,3.3529240969637235,12:01:00
0.61,0.13,3.24,46.7,18.89,443.84,3.2994848082693156,12:01:00
0.89,0.01,3.24,41.28,19.87,456.0,3.360029761772952,12:01:01
0.72,3.98,3.32,11.86,497.73,4.23,5.2327048454886125,12:01:01
0.9,0.15,3.04,489.04,458.86,483.48,3.1739722746111063,12:01:02
0.52,0.17,3.18,6.56,15.82,489.62,3.226716597409819,12:01:02
0.44,3.74,3.22,478.85,469.57,7.35,4.954755291636511,12:01:03
0.98,0.27,3.44,21.4,452.56,492.97,3.5870461385379473,12:01:03
0.66,0.1,3.34,467.77,488.24,22.19,3.4060534346953513,12:01:04
0.83,0.12,3.52,8.03,16.44,478.68,3.618521797640578,12:01:04
0.75,0.46,3.56,491.9,10.47,30.82,3.667110579189016,12:01:05
0.53,0.09,3.57,497.42,37.94,469.39,3.610249298871201,12:01:05
0.63,0.07,3.55,490.13,53.14,35.59,3.6061475288734375,12:01:06
0.63,0.05,3.54,12.4,20.47,472.75,3.59596996650417,12:01:06
1.09,0.25,3.62,481.66,497.68,32.36,3.7887992820945264,12:01:07
0.87,0.25,3.46,9.35,482.72,491.35,3.576450754588968,12:01:07
0.64,0.23,3.12,445.93,469.6,30.39,3.1932585238279723,12:01:08
0.28,0.23,3.21,467.11,10.4,23.85,3.230386973723117,12:01:08
0.79,3.87,3.34,112.52,4.55,410.95,5.1726782231258115,12:01:09
0.76,0.1,3.3,52.68,494.93,448.35,3.3878606819053227,12:01:09
0.82,0.07,3.41,11.38,488.22,472.71,3.5079053579023483,12:01:10
0.66,0.2,3.24,52.54,15.45,449.09,3.312582074454911,12:01:10
1.02,0.1,2.99,3.71,478.71,503.13,3.1607752213657965,12:01:11
1.06,3.91,3.7,22.25,37.2,22.78,5.486501617606615,12:01:11
0.74,0.22,3.0,454.51,468.92,482.23,3.0977411124882597,12:01:12
1.0,0.35,3.14,20.14,44.23,510.27,3.3139251651176433,12:01:12
0.81,3.63,3.32,463.07,482.34,465.84,4.985519030151224,12:01:13
0.55,0.25,2.52,489.81,65.17,19.99,2.591408883213917,12:01:13
0.68,3.51,2.93,5.13,37.26,491.4,4.622488507286957,12:01:14
0.34,0.33,2.54,494.42,16.89,23.39,2.583815008858026,12:01:14
0.28,3.53,3.19,475.7,58.06,19.96,4.766067561417903,12:01:15
0.67,0.29,3.3,21.46,466.86,501.35,3.3797928930631236,12:01:15
0.32,3.69,3.26,464.51,14.39,32.98,4.934176729708818,12:01:16
0.7,3.98,3.43,60.86,3.76,435.55,5.300499976417319,12:01:16
0.75,0.05,3.3,46.59,-1.83,465.75,3.3845236001540893,12:01:17
0.61,0.14,3.32,46.75,18.97,448.05,3.378475987779105,12:01:17
0.9,0.02,3.28,41.37,19.9,464.28,3.4012938714553904,12:01:18
0.72,3.98,3.39,11.91,497.74,9.95,5.277395190811467,12:01:18
0.9,0.16,3.06,489.09,458.95,484.92,3.1936186372201676,12:01:19
0.53,0.17,3.21,6.57,15.88,499.05,3.25789809539832,12:01:19
0.44,3.74,3.31,478.93,469.65,12.63,5.013711200298637,12:01:20
0.99,0.28,3.51,21.46,452.61,499.89,3.6576768583350825,12:01:20
0.67,0.1,3.42,467.84,488.33,31.6,3.4864451809830594,12:01:21
0.84,0.13,3.58,8.07,16.52,481.08,3.6795244257920072,12:01:21
0.75,0.46,3.65,491.98,10.49,37.38,3.754543913713089,12:01:22
0.54,0.1,3.65,497.44,37.96,478.1,3.691083851662002,12:01:22
0.64,0.07,3.6,490.15,53.2,41.05,3.657116350350369,12:01:23
0.64,0.06,3.6,12.42,20.55,482.32,3.6569386103679675,12:01:23
1.1,0.26,3.63,481.69,497.7,41.61,3.801907416021595,12:01:24
0.88,0.25,3.5,9.43,482.74,493.15,3.617582065413306,12:01:24
0.64,0.23,3.15,446.01,469.63,37.96,3.222576608864404,12:01:25
0.29,0.23,3.3,467.16,10.42,32.24,3.3206926988205336,12:01:25
0.8,3.87,3.42,112.57,4.6,418.51,5.2262127779109795,12:01:26
0.76,0.11,3.34,52.76,495.0,454.47,3.4271416661702214,12:01:26
0.83,0.08,3.44,11.46,488.28,479.12,3.5396186235242912,12:01:27
0.67,0.2,3.26,52.55,15.51,451.77,3.33414156868001,12:01:27
1.02,0.1,3.01,3.78,478.74,504.49,3.1797012438277905,12:01:28
1.06,3.92,3.79,22.27,37.22,28.59,5.554646703436682,12:01:28
